,Customer Views,Beer Selection,Group Experience,Ambience,Burger
Ellison Brewing Company - Indianapolis,13.893957574851811,29.058063495904207,22.066015798598528,29.92133063264191,29.38612123951316
Round Town Brewery,2.938342036679387,20.637429928407073,3.4192308466881514,10.313214059919119,0.3573216684162617
Winterfest,12.726543231867254,41.33482354879379,7.061750832013786,3.7023638784885406,0.7859319755807519
Mount Airy Tap Room,4.75642017275095,5.621275535784662,6.8896994004026055,17.34295910038054,17.042434402741492
Brewery ARS,2.0785866966471076,33.39319388195872,5.319266086444259,11.368385748006403,1.433796226978302
Uptown Beer Garden,12.231170371174812,17.698551762849092,3.420571768656373,14.279720383696258,0.972071586176753
Black Acre Brewing,30.47788844164461,119.36693866178393,26.920135531574488,87.3294448852539,30.73300876840949
Northern Liberties Beer,0.5003324449062347,3.4763265289366245,0.22565648145973682,1.7560465410351753,0.01679552160203457
Young American Cider,0.08626226056367159,5.525022804737091,1.0559319034218788,4.1128358244895935,1.1192703042179346
Books & Brews,14.414121647365391,81.05239771213382,12.87111890502274,35.03349778056145,9.667223616503179
Tiedhouse,0.4625995699316263,3.7087000608444214,1.2579358257353306,1.450380690395832,1.0974350050091743
Fermentery Form,0.6318058278411627,19.867330580949783,2.220711588859558,4.725285260006785,0.3336613457649946
Great Fermentations,3.1168895913287997,27.39995139837265,3.2174313738942146,4.292063489556313,1.708437123335898
Rock Bottom Restaurant & Brewery,98.01988298911601,44.157179097644985,65.47785531822592,65.51655034720898,83.23061779886484
Half Liter Beer & BBQ Hall,59.52045156620443,45.35070274118334,43.937040658667684,142.56226398143917,106.43066197726876
Scarlet Lane Brewing SoBro,3.2395823849365115,24.508374087512493,6.01286409329623,10.702365812845528,6.195133475586772
Suraya,167.35917556565255,95.39466163516045,261.01937154494226,300.9634071364999,325.0444723851979
Scotty's Brewhouse,136.19573521520942,84.06239164900035,59.37403091788292,114.00939137861133,85.99460866581649
Kuma's Corner,124.40406463947147,81.6415694123134,74.86369032412767,164.09722547326237,206.1441966407001
Alcatraz Brewing Company,4.3893647491931915,8.183347754180431,1.450661857612431,3.8399172835052013,5.000313317403197
2nd Story Brewing,92.29013671539724,120.3202177528292,114.69819649588317,127.83287900313735,116.73919321782887
Human Robot,4.765300039201975,18.718515748158097,4.180884048342705,10.409705955535173,1.6156999180093408
Pentridge Station Beer Garden,0.45437382347881794,3.6872193664312363,0.8679298562929034,3.892641395330429,0.03925358224660158
Philly Brew Tours by City Brew Tours,2.3766028713434935,31.11014326196164,28.222394767217338,5.140184776857495,0.6162306675687432
Fountain Square Brewery,17.142918397672474,101.92697729729116,13.0335803758353,38.330843372270465,2.146505868062377
Second District Brewing,10.744136290624738,29.446892227977514,12.386576276272535,30.33404952660203,19.521058356389403
Macaroni's Restaurant,50.74038672540337,11.874157605692744,49.52150085847825,59.88392602466047,47.38840404339135
The Rathskeller,97.04245940130204,96.75749273598194,78.75686031859368,255.05268140230328,110.14184205792844
Happy Brewing,3.583064243197441,9.031603236682713,1.9274881538003683,4.62218514084816,0.6757194241508842
Wissahickon Brewing Company,9.91463018488139,40.613992436788976,9.069001060910523,35.11158297024667,1.6261858269572258
Bald Birds Brewing Company,1.580157795920968,10.54066445492208,2.4532740442082286,7.305839370936155,0.962174404412508
Midwest Sour + Wild + Funk Fest,0.7105850279331207,6.846791058778763,1.0895754490047693,0.1498006097972393,0.1727337334305048
Harper's Garden,73.02271856553853,27.91952784266323,146.76108506321907,133.11291139386594,144.64644676353782
Traders Brewing Company,1.726253030821681,11.585979390889406,4.718384421430528,6.443229757249355,0.33543865848332644
Philly Homebrew Outlet East,5.120503392070532,19.567360043525696,2.4280050564557314,4.276657446287572,0.3704836228862405
Red Brick Craft Distillery,1.090054728090763,11.834487169981003,3.9100824259221554,0.6047363542020321,0.4020185796543956
PHS Pop Up Garden - uCity Square,1.4519227519631386,5.718776069581509,1.8039860725402832,4.166942745447159,0.7751782210543752
Broad Ripple Brewpub,75.24292061384767,75.39562442246825,42.93758606817573,102.68771869968623,96.42407662700862
The Rotisserie At the Porch,2.493530474603176,2.1721319556236267,0.3683635462075472,0.39226363599300385,3.5349435806274414
Indy Brew Bus,4.079765469767153,22.595266714692116,15.184561711736023,1.7202677596360445,0.07864523585885763
Nodding Head Brewery & Restaurant,73.8324743816629,100.22137661650777,32.63599791191518,71.38366345781833,63.020566892810166
St. Declan's Well,6.028301817364991,5.991866422817111,4.021898270584643,8.69705779850483,6.130279419012368
St. Oner’s,1.0784451365470886,2.0888940431177616,1.3567756153643131,1.2687179893255234,3.1755035761743784
Chestnut Hill Brewing Company,14.32145481184125,27.13901099562645,15.086922865360975,42.89689160324633,13.659843752160668
Chestnut Hill Brewing Co - Taproom,1.9618874546140432,1.247341537848115,0.8419607784599066,3.969416707754135,1.9292615018785
Pass & Stow,2.323341354727745,2.1091649755835533,2.371584866195917,1.8038334026932716,1.362019345164299
SkyGarten,22.726979998871684,42.45403549540788,14.39380715508014,27.83380797598511,3.987080853432417
The Cabin Kitchen,0.9157650237902999,0.1745361601933837,0.08360664173960686,1.5200965106487274,2.2857554852962494
DAVIDsTEA,7.11763621866703,18.302157789468765,3.621008474379778,2.683442050591111,1.0828580800443888
Books & Brews - Mass Ave.,7.1452745627611876,11.255379606969655,2.355244927108288,7.1159618915989995,0.8895392594859004
Big Lug Canteen,66.65050626266748,77.31445627100766,58.879509344697,174.9308087779209,131.497208122164
Enliven Planters,3.840480897575617,5.151165071874857,1.9276840472593904,1.7676692456007004,0.1790875168517232
Garfield Brewery,2.0287685515359044,29.628887967206538,7.225942947901785,18.837336972355843,1.6699913935735822
Redemption Alewerks,50.49805315863341,44.39947315491736,29.533538296818733,44.43301767203957,50.621749026700854
La Peg,45.57186867762357,33.00535894744098,56.295957362279296,49.76451208721846,70.88062887638807
Scarlet Lane Brewing Old Southside Tap House,1.437218863517046,5.527160927653313,0.7065386492758989,1.2380163371562958,0.0627596527338028
Sun King Brewing,4.921092942357063,4.570780468173325,3.397840772755444,1.9808842120692134,6.9544529635459185
Indiana Microbrewers Festival,6.5017368523404,33.67261594347656,4.990386642515659,6.106297140941024,1.3578388476744294
Point Breeze Pop Up,2.0834251325577497,5.0918886587023735,0.453092809766531,2.254784536547959,0.05624066572636366
Dock Street Cannery and Tasting Room,1.9161767279729247,4.250811659730971,1.528999543748796,4.081268443726003,1.134124642238021
18th Street Brewery - Indy Taproom,5.532937832176685,15.861856449395418,6.57210982684046,10.785651624202728,6.937515958212316
PHS Pop Up Garden - Viaduct Rail Park,0.7916700914502144,8.948693007230759,1.1883572712540627,2.2459741570055485,0.7481524497270584
Brewerytown Taproom,3.9514962136745453,2.0757669527083635,1.5169394966214895,2.6868890337646008,1.6458718571811914
Frankford Hall,144.59707810357213,215.08751470409334,74.08065836224705,489.53690983355045,72.65343424677849
PHS Pop Up Garden,29.78499805368483,68.39270322956145,18.56441849283874,64.3057360900566,12.619414510205388
Taxman CityWay,25.83892031107098,34.02546471916139,29.77144301403314,40.29234747029841,48.95023471862078
Newfields,1.1853035278618336,10.534748531877995,2.4483780562877655,7.369586292654276,1.2400077171623707
Iron Hill Brewery & Restaurant,103.08732724841684,45.45615989435464,65.12067182734609,98.29506817273796,88.2207768149674
